Gene	logFC	logCPM	PValue	FDR		Gene	B56	B57	B58	Y59	Y60	Y61	Y62		Comparison	of	groups:	Yaa-B6
Slc7a10	4.21E+00	1.454424358	5.30E-24	4.88E-22		Slc7a10	0.188941696	0.430883965	0.129436124	4.333890228	3.726357143	2.86974667	7.460691647					
Cd109	5.26E+00	0.541080335	5.64E-24	5.16E-22		Cd109	0.062980565	0.061554852	0.064718062	2.441628297	3.585739892	1.86867225	2.198239503					
Slc25a19	9.00E-01	6.148089133	8.34E-24	7.57E-22		Slc25a19	45.97581269	49.98253997	49.05629093	86.67780456	82.19078302	80.15269188	101.1190171					
Tnc	5.96E+00	0.708199537	1.00E-23	9.01E-22		Tnc	0.125961131	0	0	1.709139808	2.742036388	2.469316902	4.463092325					
Eif2ak2	9.79E-01	6.303967187	1.07E-23	9.57E-22		Eif2ak2	43.9604346	56.26113489	55.398661	110.9720061	88.5185593	106.5143183	89.52829977					
Rexo2	8.99E-01	6.292353795	1.50E-23	1.33E-21		Rexo2	49.50272435	51.76763068	58.76400022	84.84658334	110.9470108	97.83833996	93.85816546					
Phf19	1.48E+00	4.499882097	2.79E-23	2.46E-21		Phf19	12.59611307	10.21810546	11.32566083	26.73582986	33.60752291	25.36055197	38.10281806					
Arhgap11a	9.72E-01	6.010950693	2.96E-23	2.59E-21		Arhgap11a	43.51957064	38.1024535	45.56151559	74.59174449	84.22973315	71.67692846	92.59251241					
Pdia6	7.59E-01	7.674590918	3.01E-23	2.62E-21		Pdia6	142.4620388	147.423871	156.4882737	228.9636936	276.9456752	246.5979987	227.6177086					
Irgm2	9.01E-01	6.038176467	3.24E-23	2.79E-21		Irgm2	47.36138513	43.08839652	44.13771822	91.31689833	75.86300674	74.9471049	81.93438149					
Oasl1	2.16E+00	4.116713734	3.39E-23	2.91E-21		Oasl1	4.534600704	7.201917704	6.148215882	35.22048819	18.13962534	30.56613895	18.71834244					
Kpna2	9.93E-01	6.914704713	4.85E-23	4.13E-21		Kpna2	73.12043635	69.31076355	92.80570078	135.9376555	169.0219353	131.0740107	170.5967081					
Ctla4	1.41E+00	4.28786981	4.88E-23	4.13E-21		Ctla4	11.33650176	10.34121517	9.12524673	28.13976613	25.38141375	22.4908053	29.5097					
Oas2	2.46E+00	5.36879977	5.08E-23	4.27E-21		Oas2	5.605270314	14.40383541	15.72648904	87.16613022	43.16949596	76.34860908	44.23124334					
Vcam1	-9.80E-01	7.690210296	5.13E-23	4.28E-21		Vcam1	240.963643	301.064782	336.0808955	151.6251173	147.7887305	160.7725518	114.7081341					
Slc12a7	-8.66E-01	6.920279083	5.67E-23	4.70E-21		Slc12a7	144.5403974	172.3535861	181.7283178	102.4873478	83.38602965	89.02888507	77.47128916					
Itgad	-1.08E+00	6.772265144	7.52E-23	6.20E-21		Itgad	120.6077826	181.0328202	175.64482	72.02803478	76.07393261	84.29046615	59.61891986					
Asf1b	1.48E+00	4.931772283	9.84E-23	8.06E-21		Asf1b	14.61149116	11.4492025	20.12731725	36.74650588	45.77091509	35.70498764	48.49449571					
Usp18	1.81E+00	4.748609233	1.03E-22	8.37E-21		Usp18	9.321123669	12.7418544	11.97284145	50.78586859	26.78758625	45.51551695	29.77615327					
Coro2b	1.97E+00	3.588010909	1.05E-22	8.52E-21		Coro2b	6.235075968	4.678168765	2.782876662	15.13809544	20.67073585	17.61890979	16.78655621					
Ccr9	-1.03E+00	5.018684832	1.64E-22	1.31E-20		Ccr9	48.43205474	45.11970664	45.8851059	25.27085288	22.21752561	20.42191816	20.0506088					
Ssr2	8.45E-01	6.331347668	3.49E-22	2.78E-20		Ssr2	52.58877205	57.86156104	58.37569184	93.33124167	115.4467628	94.96859329	89.994593					
Fam101a	3.97E+00	1.098828998	4.08E-22	3.24E-20		Fam101a	0.377883392	0	0.32359031	4.089727398	4.359134771	1.935410545	3.930185779					
Csf3r	-1.51E+00	7.803978238	4.36E-22	3.43E-20		Csf3r	202.7344398	414.6950391	468.2351779	126.6594679	136.1174986	128.871647	100.7193372					
A430084P05Rik	1.55E+00	3.813022307	5.38E-22	4.21E-20		A430084P05Rik	6.172095402	8.063685635	6.212933944	16.90827596	20.74104447	19.15389057	20.98319526					
Ncapg	1.57E+00	5.233112898	6.02E-22	4.68E-20		Ncapg	15.30427738	13.41895777	25.56363446	45.9636527	55.33288814	43.24641494	63.28265237					
Folr4	1.23E+00	5.326155008	9.39E-22	7.26E-20		Folr4	25.2552067	25.66837336	18.37992958	58.35491631	43.80227358	47.18397432	60.95118623					
Thy1	-7.40E-01	7.266734536	1.06E-21	8.17E-20		Thy1	194.1690829	210.9484784	204.2502034	124.1567989	122.4776253	125.7349471	99.58691083					
Edem2	8.13E-01	6.569640195	1.29E-21	9.89E-20		Edem2	62.8546042	71.71140278	67.50093857	106.821238	133.8676226	115.5907263	105.1824296					
Sec24d	1.12E+00	5.156556415	1.31E-21	9.91E-20		Sec24d	20.02781978	24.62194087	20.51562563	42.85057662	55.47350539	44.18075106	41.50009729					
Fras1	-3.46E+00	1.724914136	1.35E-21	1.02E-19		Fras1	3.589892224	10.77209913	6.471806191	0.549366367	0.703086253	1.067812714	0.133226637					
