Gene	BXSB_B6_Y1_GES12_52056	Gene	BXSB_B6_Y2_GES12_52057	Gene	BXSB_B6_Y3_GES12_52058	Gene	BXSB_Yaa1_GES12_52059	Gene	BXSB_Yaa2_GES12_52060	Gene	BXSB_Yaa3_GES12_52061	Gene	BXSB_Yaa4_GES12_52062
1500004A13Rik	230	1500004A13Rik	250	1500004A13Rik	228	1500004A13Rik	231	1500004A13Rik	186	1500004A13Rik	204	1500004A13Rik	234
1500009C09Rik	1	1500009C09Rik	1	1500009C09Rik	0	1500009C09Rik	4	1500009C09Rik	1	1500009C09Rik	6	1500009C09Rik	1
1500009L16Rik	1	1500009L16Rik	0	1500009L16Rik	1	1500009L16Rik	10	1500009L16Rik	6	1500009L16Rik	6	1500009L16Rik	4
1500010J02Rik	745	1500010J02Rik	779	1500010J02Rik	690	1500010J02Rik	771	1500010J02Rik	673	1500010J02Rik	737	1500010J02Rik	760
1500011B03Rik	366	1500011B03Rik	343	1500011B03Rik	334	1500011B03Rik	370	1500011B03Rik	297	1500011B03Rik	317	1500011B03Rik	348
1500011H22Rik	186	1500011H22Rik	182	1500011H22Rik	173	1500011H22Rik	195	1500011H22Rik	210	1500011H22Rik	187	1500011H22Rik	242
1500011K16Rik	121	1500011K16Rik	143	1500011K16Rik	116	1500011K16Rik	110	1500011K16Rik	80	1500011K16Rik	106	1500011K16Rik	115
1500012F01Rik	795	1500012F01Rik	830	1500012F01Rik	712	1500012F01Rik	934	1500012F01Rik	802	1500012F01Rik	890	1500012F01Rik	956
1500015A07Rik	181	1500015A07Rik	157	1500015A07Rik	141	1500015A07Rik	147	1500015A07Rik	113	1500015A07Rik	117	1500015A07Rik	120
1500015O10Rik	7	1500015O10Rik	10	1500015O10Rik	7	1500015O10Rik	4	1500015O10Rik	3	1500015O10Rik	2	1500015O10Rik	5
1500016L03Rik	0	1500016L03Rik	0	1500016L03Rik	0	1500016L03Rik	0	1500016L03Rik	0	1500016L03Rik	0	1500016L03Rik	0
1500017E21Rik	0	1500017E21Rik	0	1500017E21Rik	1	1500017E21Rik	1	1500017E21Rik	0	1500017E21Rik	0	1500017E21Rik	0
1500031L02Rik	157	1500031L02Rik	182	1500031L02Rik	200	1500031L02Rik	148	1500031L02Rik	151	1500031L02Rik	147	1500031L02Rik	137
1500032L24Rik	649	1500032L24Rik	648	1500032L24Rik	656	1500032L24Rik	777	1500032L24Rik	684	1500032L24Rik	716	1500032L24Rik	732
1520402A15Rik	44	1520402A15Rik	63	1520402A15Rik	51	1520402A15Rik	40	1520402A15Rik	45	1520402A15Rik	50	1520402A15Rik	49
